Address (Store1),Address (Store1) - 분할 2,Catrgory Code (Store1),Local Code (Store1),Store Code (Store1),Store Name (Store1)
서울 서대문구 연세로4길 7 1층,서대문구,닭요리,(지번) 창천동 18-72,STORE_SDM00077,유닭스토리 신촌점
서울 서대문구 명물길 50-9,서대문구,일식,(지번) 창천동 5-30,STORE_SDM00078,육구덮밥
서울 서대문구 연희로25길 82,서대문구,커피전문점,(지번) 연희동 90-8,STORE_SDM00079,로덴드론
서울 서대문구 통일로 135,서대문구,한식,(지번) 충정로2가 2-2,STORE_SDM00080,안춘선갈비배추탕
서울 서대문구 연세로4길 29,서대문구,커피전문점,(지번) 창천동 13-14,STORE_SDM00081,에이투지카페
서울 서대문구 신촌역로 43,서대문구,카페,(지번) 창천동 4-77,STORE_SDM00082,호밀밭
서울 서대문구 연세로12길 33,서대문구,패밀리레스토랑,(지번) 창천동 2-6,STORE_SDM00083,아웃백스테이크하우스 신촌점
서울 서대문구 이화여대길 88-21 2층,서대문구,디저트카페,(지번) 대현동 34-40,STORE_SDM00084,그릭데이 이대점
서울 서대문구 경기대로 82 지하1층,서대문구,"육류,고기",(지번) 충정로2가 40,STORE_SDM00085,참맛집
서울 서대문구 신촌로11길 62,서대문구,분식,(지번) 창천동 53-75,STORE_SDM00086,키친봄날
서울 서대문구 신촌로 49,서대문구,일식,(지번) 창천동 112-14,STORE_SDM00087,타코몽
서울 서대문구 통일로39길 43 1층,서대문구,카페,(지번) 홍제동 307-12,STORE_SDM00088,발카롱
서울 서대문구 명물길 32 5층,서대문구,이탈리안,(지번) 창천동 13-2,STORE_SDM00089,현명식탁
서울 서대문구 통일로 135 충정빌딩 지하1층,서대문구,중화요리,(지번) 충정로2가 2-2,STORE_SDM00090,복성각 서대문점
서울 서대문구 연희로25길 22,서대문구,쌈밥,(지번) 연희동 82-3,STORE_SDM00091,녹원쌈밥
서울 서대문구 거북골로 15-2,서대문구,떡볶이,(지번) 홍은동 409-33,STORE_SDM00092,순이네고릴라떡볶이 3호점
